idFactura,idProducto,cantidad
1,52,5
2,41,2
2,39,3
2,15,2
3,45,1
3,87,4
3,84,1
3,61,7
3,63,1
3,80,7
4,83,7
4,67,9
4,47,8
5,9,5
5,52,9
5,78,9
6,74,7
7,73,7
7,58,4
8,16,10
8,39,6
8,84,8
8,85,4
8,45,7
8,95,9
8,94,8
9,18,1
9,66,4
9,67,10
10,20,6
10,53,7
10,1,10
10,2,3
10,80,3
11,34,5
11,71,7
11,74,1
12,96,3
12,8,8
12,77,3
12,53,7
13,18,4
13,76,4
14,63,5
15,73,4
15,26,1
15,39,7
15,65,8
15,21,7
15,41,7
15,43,10
15,24,6
16,70,1
16,16,4
16,67,5
16,76,8
16,1,4
16,44,6
16,64,8
16,75,4
17,95,6
17,83,9
18,23,5
18,37,10
18,31,2
18,41,5
18,28,5
18,11,8
18,9,4
19,9,9
19,80,8
19,45,7
19,44,10
19,100,3
20,30,5
20,55,6
20,34,1
21,20,8
21,79,5
21,2,7
21,63,8
22,8,5
22,63,6
22,80,7
23,17,3
23,33,7
23,10,6
23,97,9
23,36,4
23,74,5
23,3,2
24,42,1
24,40,9
24,2,1
24,58,7
24,54,8
24,14,5
24,38,3
24,50,8
25,92,10
25,28,5
25,18,6
25,46,1
25,33,6
26,27,2
26,99,7
26,28,4
26,36,3
26,92,3
27,59,10
27,46,3
27,41,10
27,95,2
27,93,1
27,47,8
27,19,3
28,81,2
28,88,1
28,24,5
28,23,2
29,36,9
29,65,5
29,87,2
29,44,1
29,80,1
29,5,7
30,91,4
30,34,10
30,82,8
30,13,5
30,55,9
30,51,4
30,31,1
30,38,7
31,24,1
31,50,10
31,67,7
31,55,7
31,90,2
32,18,1
32,55,3
32,95,4
33,20,9
33,29,8
34,91,1
34,75,10
35,3,10
36,37,5
36,33,1
36,11,7
36,85,7
36,30,4
36,45,8
36,18,8
36,23,4
37,27,6
38,16,4
39,87,10
39,14,8
40,41,9
40,32,7
40,6,7
40,56,8
40,89,4
41,83,3
41,45,8
41,48,5
41,8,8
41,27,7
41,29,5
41,35,10
41,73,10
41,28,1
42,64,3
42,28,7
42,20,9
42,83,1
43,16,4
43,79,1
44,89,9
44,58,3
44,59,10
44,48,1
44,31,6
45,72,6
45,61,9
45,94,3
45,10,2
45,82,3
45,100,7
46,34,8
46,3,4
46,10,9
46,61,8
46,29,6
46,83,2
