student_universityNotebook,career_id,fecha_inscripcion,fecha_egreso
246,2,9/10/2021,11/23/2022
198,5,11/24/2021,null
152,7,7/13/2022,null
239,9,9/13/2020,null
152,4,11/16/2018,null
43,1,5/11/2019,12/27/2022
74,5,3/13/2021,3/2/2023
199,10,8/23/2019,null
87,8,8/25/2021,null
69,6,12/12/2020,null
95,6,7/24/2020,null
4,3,3/2/2019,4/1/2023
123,3,9/2/2018,2/27/2023
97,6,2/21/2020,4/14/2023
48,12,6/19/2023,12/17/2022
151,6,4/17/2018,null
49,2,8/28/2021,null
225,11,1/2/2019,null
126,8,2/17/2019,null
64,4,9/9/2018,null
66,10,12/3/2018,null
174,9,12/30/2019,null
85,2,4/29/2020,null
137,8,12/20/2020,null
228,3,2/5/2022,null
7,10,11/16/2021,2/12/2023
110,9,11/19/2022,9/3/2023
137,11,1/7/2019,12/25/2022
214,4,7/23/2019,9/5/2023
243,3,2/15/2021,3/3/2023
245,11,7/9/2021,null
76,2,12/27/2022,null
51,5,6/3/2019,null
43,9,7/5/2018,null
238,11,9/22/2022,null
59,10,6/16/2021,null
95,8,9/28/2022,null
200,7,2/20/2022,null
151,10,5/13/2022,null
163,5,8/8/2018,null
109,9,2/12/2019,5/5/2023
92,6,10/16/2018,3/13/2023
198,2,11/8/2018,2/4/2023
141,11,6/25/2022,9/30/2022
81,3,8/31/2022,11/4/2022
154,8,1/9/2020,2/4/2023
134,6,1/18/2022,7/20/2023
199,11,2/28/2018,12/22/2022
210,1,10/15/2020,7/19/2023
74,8,5/19/2020,8/22/2023
67,7,5/4/2019,null
171,12,2/7/2020,null
3,2,1/12/2023,null
13,8,5/29/2021,null
193,9,12/7/2018,null
93,10,8/5/2022,null
152,9,11/26/2019,null
29,9,11/12/2019,null
166,9,1/22/2018,null
229,3,3/24/2021,null
186,8,1/4/2023,null
50,8,6/28/2022,null
101,4,7/27/2022,9/12/2023
182,5,4/4/2018,10/8/2022
32,3,8/12/2020,12/7/2022
167,8,9/12/2021,10/31/2022
146,11,1/31/2021,4/25/2023
87,7,8/26/2020,10/18/2022
170,11,5/30/2018,12/9/2022
61,11,4/13/2021,4/20/2023
120,6,1/6/2021,10/15/2022
245,10,12/3/2022,12/19/2022
84,7,12/24/2020,null
157,1,12/22/2022,null
111,9,12/18/2020,null
117,3,5/19/2018,null
166,11,9/2/2022,null
158,5,5/23/2022,null
37,9,4/23/2019,null
43,10,11/6/2021,null
28,7,10/31/2019,null
193,12,9/13/2022,null
171,9,1/23/2022,4/5/2023
230,7,1/19/2019,10/11/2022
154,9,10/13/2018,9/23/2022
74,1,12/23/2018,6/28/2023
34,3,8/2/2021,7/14/2023
70,8,9/17/2019,null
126,4,9/23/2020,null
221,2,9/18/2021,null
17,11,6/2/2023,null
196,3,5/21/2019,null
143,2,4/18/2022,null
109,6,2/18/2022,null
2,11,9/27/2018,null
156,8,6/27/2018,null
25,2,6/14/2021,10/22/2022
157,11,11/5/2022,9/6/2023
131,4,7/15/2020,9/25/2022
99,3,3/25/2019,10/28/2022
48,7,5/31/2023,null
170,6,8/30/2020,null
69,3,6/13/2020,null
160,11,12/25/2021,null
68,6,5/16/2019,null
222,8,9/18/2022,null
176,8,9/22/2021,null
240,1,3/3/2021,null
233,7,5/19/2019,null
157,2,9/23/2018,null
116,8,7/11/2022,null
237,3,12/4/2022,null
172,7,7/1/2022,null
130,3,7/19/2019,null
79,5,4/27/2022,null
78,5,9/9/2022,null
171,2,9/4/2018,null
137,4,10/16/2022,null
52,7,7/4/2022,null
139,4,2/6/2019,null
92,10,2/17/2021,12/14/2022
233,5,11/26/2018,9/23/2022
162,3,12/14/2021,7/19/2023
206,10,8/13/2021,9/13/2023
1,7,5/29/2019,9/18/2023
158,6,3/10/2023,2/1/2023
72,5,2/25/2022,1/10/2023
54,1,10/30/2022,12/1/2022
166,3,3/20/2023,9/30/2022
71,9,1/22/2022,null
114,8,5/10/2023,null
44,1,4/28/2021,null
215,3,1/18/2019,null
222,1,1/14/2021,null
191,2,9/13/2019,null
51,3,5/11/2022,null
123,2,1/7/2022,null
186,7,1/6/2022,null
24,9,3/7/2018,null
132,3,2/5/2019,null
170,1,12/5/2022,null
8,9,8/2/2022,null
82,11,12/20/2022,12/16/2022
43,8,8/20/2023,8/4/2023
167,12,11/7/2022,1/30/2023
115,8,6/1/2018,11/22/2022
100,5,1/27/2018,12/16/2022
203,1,10/28/2020,12/6/2022
178,6,11/15/2021,1/18/2023
216,2,9/12/2019,10/16/2022
245,12,7/20/2022,3/29/2023
79,12,2/11/2018,10/4/2022
194,2,7/10/2022,3/5/2023
218,2,4/13/2020,1/1/2023
163,9,3/18/2019,12/4/2022
141,8,12/5/2020,10/30/2022
123,5,9/2/2023,12/4/2022
